time,date,sample,hSpO2 (uA),hSpO2 (uA),hSpO2 (uA),hSpO2 (uA),cACC (g),cACC (g),cACC (g)
1570646132.950344,2019-10-09 12:35:32,6624.0,0.005650999955832958,0.02105499990284443,0.00929499976336956,0.050234999507665634,0.3257000148296356,-0.9150000214576721,-0.10689999908208847
1570646132.950344,2019-10-09 12:35:32,6625.0,0.005716999992728233,0.021071000024676323,0.00928799994289875,0.05025799944996834,0.32760000228881836,-0.9092000126838684,-0.10840000212192535
1570646132.950344,2019-10-09 12:35:32,6626.0,0.005667000077664852,0.0210960004478693,0.009298999793827534,0.050255998969078064,0.33059999346733093,-0.9023000001907349,-0.10890000313520432
1570646132.950344,2019-10-09 12:35:32,6627.0,0.0056420001201331615,0.021159999072551727,0.009263000451028347,0.05025999993085861,0.32670000195503235,-0.9136000275611877,-0.10740000009536743
1570646132.950344,2019-10-09 12:35:32,6628.0,0.00570600014179945,0.021188000217080116,0.009196000173687935,0.050269000232219696,0.3257000148296356,-0.9169999957084656,-0.10790000110864639
1570646132.950344,2019-10-09 12:35:32,6629.0,0.005727000068873167,0.021159999072551727,0.009258000180125237,0.050315000116825104,0.32519999146461487,-0.9185000061988831,-0.11429999768733978
1570646132.950344,2019-10-09 12:35:32,6630.0,0.005690000019967556,0.021239999681711197,0.009196000173687935,0.050303999334573746,0.32760000228881836,-0.9272000193595886,-0.1200999990105629
1570646132.950344,2019-10-09 12:35:32,6631.0,0.005716999992728233,0.021237999200820923,0.009310999885201454,0.05033300071954727,0.31929999589920044,-0.9394999742507935,-0.1177000030875206
1570646132.950344,2019-10-09 12:35:32,6632.0,0.005762999877333641,0.02131599932909012,0.009286000393331051,0.05040400102734566,0.3061999976634979,-0.9380000233650208,-0.11670000106096268
1570646132.950344,2019-10-09 12:35:32,6633.0,0.005694999825209379,0.021375000476837158,0.009298999793827534,0.05051400139927864,0.3086000084877014,-0.923799991607666,-0.1177000030875206
1570646132.950344,2019-10-09 12:35:32,6634.0,0.005708000157028437,0.021379999816417694,0.009320000186562538,0.05062200129032135,0.326200008392334,-0.9106000065803528,-0.12060000002384186
1570646132.950344,2019-10-09 12:35:32,6635.0,0.005743000190705061,0.021412000060081482,0.009263000451028347,0.05073900148272514,0.32179999351501465,-0.9369999766349792,-0.11959999799728394
1570646132.950344,2019-10-09 12:35:32,6636.0,0.005735999904572964,0.021395999938249588,0.009225999936461449,0.05076799914240837,0.3061999976634979,-0.9589999914169312,-0.11569999903440475
1570646132.950344,2019-10-09 12:35:32,6637.0,0.005723999813199043,0.021441999822854996,0.009332000277936459,0.05090999975800514,0.31299999356269836,-0.9442999958992004,-0.13179999589920044
1570646132.950344,2019-10-09 12:35:32,6638.0,0.005743000190705061,0.021508000791072845,0.00938900001347065,0.05119600147008896,0.3319999873638153,-0.9570000171661377,-0.149399995803833
1570646132.950344,2019-10-09 12:35:32,6639.0,0.005783999804407358,0.02150999940931797,0.00937500037252903,0.051235001534223557,0.2694999873638153,-0.9800000190734863,-0.16750000417232513
1570646132.950344,2019-10-09 12:35:32,6640.0,0.005754000041633844,0.021601999178528786,0.009305999614298344,0.051215000450611115,0.24609999358654022,-0.9340999722480774,-0.15719999372959137
1570646132.950344,2019-10-09 12:35:32,6641.0,0.005758999846875668,0.02166599966585636,0.009196000173687935,0.05133099853992462,0.301800012588501,-0.9106000065803528,-0.11620000004768372
1570646132.950344,2019-10-09 12:35:32,6642.0,0.005814000032842159,0.02173900045454502,0.009015999734401703,0.05101500079035759,0.3037000000476837,-0.9067000150680542,-0.10300000011920929
1570646132.950344,2019-10-09 12:35:32,6643.0,0.0058639999479055405,0.02177399955689907,0.008848999626934528,0.05070900171995163,0.28519999980926514,-0.8984000086784363,-0.12449999898672104
1570646132.950344,2019-10-09 12:35:32,6644.0,0.005886999890208244,0.02185400016605854,0.008709000423550606,0.05062900111079216,0.3330000042915344,-0.9014000296592712,-0.13570000231266022
1570646132.950344,2019-10-09 12:35:32,6645.0,0.005913999862968922,0.021925000473856926,0.008701999671757221,0.050703998655080795,0.3662000000476837,-0.8871999979019165,-0.12399999797344208
1570646132.950344,2019-10-09 12:35:32,6646.0,0.005948999896645546,0.021997999399900436,0.008713999763131142,0.050866998732089996,0.3544999957084656,-0.8651999831199646,-0.11720000207424164
1570646132.950344,2019-10-09 12:35:32,6647.0,0.006008000113070011,0.02201800048351288,0.008677000179886818,0.05113700032234192,0.37299999594688416,-0.8881999850273132,-0.10939999669790268
1570646132.950344,2019-10-09 12:35:32,6648.0,0.006051999982446432,0.022043999284505844,0.00873200036585331,0.05146399885416031,0.33500000834465027,-0.9535999894142151,-0.0869000032544136
1570646132.950344,2019-10-09 12:35:32,6649.0,0.00596500001847744,0.022043999284505844,0.00880299974232912,0.05147299915552139,0.37700000405311584,-0.8428000211715698,-0.09570000320672989
1570646132.950344,2019-10-09 12:35:32,6650.0,0.005913999862968922,0.021914999932050705,0.008930999785661697,0.05146399885416031,0.43549999594688416,-0.8461999893188477,-0.093299999833107
